Energieplanung Ippesheimer Weg 24, 55545 Bad Kreuznach (Winzenheim);;;;;;;;;;
Quelle PV-Monate: ODS Trend_Solarertrag (LibreOffice) 2012-2025; Abrechnung 2025 fuer Jahressummen;;;;;;;;;
Modell: Eigenverbrauch = min(PV; Last x Tagesoverlap); Erweiterung: Mehr-PV deckt zuerst verbleibenden Netzbezug;;;;;;;;
Gesamtverbrauch = Netzbezug + PV-Eigenverbrauch;;;;;;;;;;
;;;;;;;;;;
2025_Ist_Abrechnung;;;;;;;;;;
Monat;PV_Erzeugung_kWh;PV_Eigenverbrauch_kWh;PV_Einspeisung_kWh;Gesamtverbrauch_kWh;Netzbezug_kWh;;;;;
GEDEA-Ingelheim;AN2611258;24350;13.34;29;16.6;Fronius Symo GEN24 12kW;ja;"nicht explizit; Platz/Zaehlerarbeit implizit";Fronius Smart Meter;1825.0
Wilhelm Solaranlagen;AG3421;14997;10.12;22;9.6;Sungrow SH10RT;ja;Einbau in BESTEHENDEN Kasten (Platz eng);optional +200 EUR Wandlersatz;1482.0
;;;;;;;;;;
Bestand PV;11.28 kWp (13192 kWh/Jahr 2025 ODS);;;;;;;;;
GEDEA Zusatzertrag geschaetzt;850 kWh/kWp Nord/West => 24300 kWh/Jahr gesamt (13192 + 11108);;;;;;;;;
Wilhelm Zusatzertrag geschaetzt;850 kWh/kWp => 21600 kWh/Jahr gesamt (13192 + 8408);;;;;;;;;
Mehr-Eigenverbrauch GEDEA vs Basis 2027;7034 kWh x 31 ct = 2197 EUR/Jahr;;;;;;;;;
Mehr-Eigenverbrauch Wilhelm vs Basis 2027;6046 kWh x 31 ct = 1889 EUR/Jahr;;;;;;;;;
Ersparnis Stromkosten GEDEA vs Basis 2027;2197 EUR/Jahr (ohne Einspeiseverguetung; Speicher nicht modelliert);;;;;;;;
Amortisation GEDEA nur Stromersparnis;11.1;Jahre;;;;;;;;
Amortisation Wilhelm nur Stromersparnis;7.9;Jahre;;;;;;;;
